sentence,gpt4_zeroshot_r1,gpt4_zeroshot_r2,gpt4_zeroshot_r3,answer
"budget analyst, ngb/fmai",Budget Analysts (13-2031.00),Budget Analysts (13-2031.00),Budget Analysts (13-2031.00),Budget Analysts (13-2031.00)
"budget analyst, pharmacutical consultants services",Budget Analysts (13-2031.00),Budget Analysts (13-2031.00),Budget Analysts (13-2031.00),Budget Analysts (13-2031.00)
"budget analyst, union county government",Budget Analysts (13-2031.00),Budget Analysts (13-2031.00),Budget Analysts (13-2031.00),Budget Analysts (13-2031.00)
"budget analyst, united states air force",Budget Analysts (13-2031.00),Budget Analysts (13-2031.00),Budget Analysts (13-2031.00),Budget Analysts (13-2031.00)
"budget analyst, us air force",Budget Analysts (13-2031.00),Budget Analysts (13-2031.00),Budget Analysts (13-2031.00),Budget Analysts (13-2031.00)
"budget and finance analyst, nassau county",Budget Analysts (13-2031.00),Financial and Investment Analysts (13-2051.00); Budget Analysts (13-2031.00),Financial and Investment Analysts (13-2051.00); Budget Analysts (13-2031.00),Budget Analysts (13-2031.00);Financial and Investment Analysts (13-2051.00)
"budget coordinator, university of medicine and dentistry of new nersey",Budget Analysts (13-2031.00),Budget Analysts (13-2031.00),Budget Analysts (13-2031.00),Budget Analysts (13-2031.00)
"budget office, university of houston-downtown",Budget Analysts (13-2031.00),Budget Analysts (13-2031.00),Budget Analysts (13-2031.00),Budget Analysts (13-2031.00)
"builder loan officer - ctx mortgage for, centex homes",Loan Officers (13-2072.00),Loan Officers (13-2072.00),Loan Officers (13-2072.00),Loan Officers (13-2072.00)
"builder, us navy","Construction Laborers (47-2061.00); Construction and Related Workers, All Other (47-4099.00)","Construction Laborers (47-2061.00); Carpenters (47-2031.00); Construction and Related Workers, All Other (47-4099.00)",Marine Engineers and Naval Architects (17-2121.00); Ship Engineers (53-5031.00),"Construction Laborers (47-2061.00);Construction and Related Workers, All Other (47-4099.00)"
"building automation technician, trane","Heating, Air Conditioning, and Refrigeration Mechanics and Installers (49-9021.00); Mechanical Engineering Technologists and Technicians (17-3027.00)","Heating, Air Conditioning, and Refrigeration Mechanics and Installers (49-9021.00); Control and Valve Installers and Repairers, Except Mechanical Door (49-9012.00)","Heating, Air Conditioning, and Refrigeration Mechanics and Installers (49-9021.00); Mechanical Engineering Technologists and Technicians (17-3027.00)","Heating, Air Conditioning, and Refrigeration Mechanics and Installers (49-9021.00);Mechanical Engineering Technologists and Technicians (17-3027.00)"
"building engineer, beal properties chicago","Maintenance and Repair Workers, General (49-9071.00); Facilities Managers (11-3013.00)","Stationary Engineers and Boiler Operators (51-8021.00); Maintenance and Repair Workers, General (49-9071.00)",Stationary Engineers and Boiler Operators (51-8021.00); Facilities Managers (11-3013.00),"Maintenance and Repair Workers, General (49-9071.00);Facilities Managers (11-3013.00);Stationary Engineers and Boiler Operators (51-8021.00)"
"building information modeler, veridian homes",Architectural and Civil Drafters (17-3011.00),Architectural and Civil Drafters (17-3011.00),Architectural and Civil Drafters (17-3011.00),Architectural and Civil Drafters (17-3011.00)
"building supervisor, lincoln community center","Facilities Managers (11-3013.00); Property, Real Estate, and Community Association Managers (11-9141.00)","Facilities Managers (11-3013.00); Property, Real Estate, and Community Association Managers (11-9141.00); First-Line Supervisors of Housekeeping and Janitorial Workers (37-1011.00)",Facilities Managers (11-3013.00); First-Line Supervisors of Housekeeping and Janitorial Workers (37-1011.00),"Facilities Managers (11-3013.00);Property, Real Estate, and Community Association Managers (11-9141.00);First-Line Supervisors of Housekeeping and Janitorial Workers (37-1011.00)"
"building supervisor, ymca of greater cincinnati",Facilities Managers (11-3013.00),Facilities Managers (11-3013.00),Facilities Managers (11-3013.00),Facilities Managers (11-3013.00)
"building support technician, truman state university","Maintenance and Repair Workers, General (49-9071.00)","Maintenance and Repair Workers, General (49-9071.00)","Maintenance and Repair Workers, General (49-9071.00)","Maintenance and Repair Workers, General (49-9071.00)"
"burglar alarm agent, onguard alarm",Security and Fire Alarm Systems Installers (49-2098.00),Security and Fire Alarm Systems Installers (49-2098.00),Security and Fire Alarm Systems Installers (49-2098.00),Security and Fire Alarm Systems Installers (49-2098.00)
"bus aide, j.o. combs unified school district",School Bus Monitors (33-9094.00),School Bus Monitors (33-9094.00),School Bus Monitors (33-9094.00),School Bus Monitors (33-9094.00)
"bus aide, joplin independent school district",School Bus Monitors (33-9094.00),School Bus Monitors (33-9094.00),School Bus Monitors (33-9094.00),School Bus Monitors (33-9094.00)
"bus driver, carrier coach","Bus Drivers, Transit and Intercity (53-3052.00)","Bus Drivers, Transit and Intercity (53-3052.00)","Bus Drivers, Transit and Intercity (53-3052.00)","Bus Drivers, Transit and Intercity (53-3052.00)"
"bus driver, citilink-fort wayne public transportation","Bus Drivers, Transit and Intercity (53-3052.00)","Bus Drivers, Transit and Intercity (53-3052.00)","Bus Drivers, Transit and Intercity (53-3052.00)","Bus Drivers, Transit and Intercity (53-3052.00)"
"bus driver, clover park school district","Bus Drivers, School (53-3051.00)","Bus Drivers, School (53-3051.00)","Bus Drivers, School (53-3051.00)","Bus Drivers, School (53-3051.00)"
"bus driver, durham school services","Bus Drivers, School (53-3051.00)","Bus Drivers, School (53-3051.00)","Bus Drivers, School (53-3051.00)","Bus Drivers, School (53-3051.00)"
"bus driver, east carolina university transit","Bus Drivers, Transit and Intercity (53-3052.00)","Bus Drivers, Transit and Intercity (53-3052.00)","Bus Drivers, Transit and Intercity (53-3052.00)","Bus Drivers, Transit and Intercity (53-3052.00)"
"bus driver, hess bus service","Bus Drivers, School (53-3051.00); Bus Drivers, Transit and Intercity (53-3052.00)","Bus Drivers, Transit and Intercity (53-3052.00); Bus Drivers, School (53-3051.00)","Bus Drivers, Transit and Intercity (53-3052.00)","Bus Drivers, School (53-3051.00);Bus Drivers, Transit and Intercity (53-3052.00)"
"bus driver, rockwall isd","Bus Drivers, School (53-3051.00)","Bus Drivers, School (53-3051.00)","Bus Drivers, School (53-3051.00)","Bus Drivers, School (53-3051.00)"
"bus driver, shelby county schools","Bus Drivers, School (53-3051.00)","Bus Drivers, School (53-3051.00)","Bus Drivers, School (53-3051.00)","Bus Drivers, School (53-3051.00)"
"bus girl, the country squire diner",Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00),Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00),Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00),Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00)
"bus operator (utu), lacmta","Bus Drivers, Transit and Intercity (53-3052.00)","Bus Drivers, Transit and Intercity (53-3052.00)","Bus Drivers, Transit and Intercity (53-3052.00)","Bus Drivers, Transit and Intercity (53-3052.00)"
"bus operator, veolia transportation","Bus Drivers, Transit and Intercity (53-3052.00)","Bus Drivers, Transit and Intercity (53-3052.00)","Bus Drivers, Transit and Intercity (53-3052.00)","Bus Drivers, Transit and Intercity (53-3052.00)"
"business administrator, business administrator, physical plant, virginia commonwealth university",Facilities Managers (11-3013.00); Administrative Services Managers (11-3012.00),Administrative Services Managers (11-3012.00); Facilities Managers (11-3013.00),Administrative Services Managers (11-3012.00); Facilities Managers (11-3013.00),Facilities Managers (11-3013.00);Administrative Services Managers (11-3012.00)
"business administrator, julian lecraw & company",General and Operations Managers (11-1021.00); Administrative Services Managers (11-3012.00),General and Operations Managers (11-1021.00); Administrative Services Managers (11-3012.00),Administrative Services Managers (11-3012.00); General and Operations Managers (11-1021.00),General and Operations Managers (11-1021.00);Administrative Services Managers (11-3012.00)
"business administrator, proyectos y negocios inmobiliarios s.a. de c.v. (business and real estate business projects)","General and Operations Managers (11-1021.00); Administrative Services Managers (11-3012.00); Property, Real Estate, and Community Association Managers (11-9141.00)",General and Operations Managers (11-1021.00); Administrative Services Managers (11-3012.00),"General and Operations Managers (11-1021.00); Property, Real Estate, and Community Association Managers (11-9141.00)","General and Operations Managers (11-1021.00);Administrative Services Managers (11-3012.00);Property, Real Estate, and Community Association Managers (11-9141.00)"
"business analyst, financial planning analyst, freddie mac",Financial and Investment Analysts (13-2051.00),Financial and Investment Analysts (13-2051.00),Financial Quantitative Analysts (13-2099.01); Financial and Investment Analysts (13-2051.00),Financial and Investment Analysts (13-2051.00)
"business analyst, oil & gas, simtano as","Business Operations Specialists, All Other (13-1199.00); Management Analysts (13-1111.00)","Management Analysts (13-1111.00); Business Operations Specialists, All Other (13-1199.00)","Business Operations Specialists, All Other (13-1199.00); Management Analysts (13-1111.00)","Business Operations Specialists, All Other (13-1199.00);Management Analysts (13-1111.00)"
"business analyst, spectrum brands, inc",Business Intelligence Analysts (15-2051.01); Management Analysts (13-1111.00),"Business Operations Specialists, All Other (13-1199.00); Business Intelligence Analysts (15-2051.01); Management Analysts (13-1111.00)","Business Operations Specialists, All Other (13-1199.00); Management Analysts (13-1111.00)","Business Intelligence Analysts (15-2051.01);Management Analysts (13-1111.00);Business Operations Specialists, All Other (13-1199.00)"
"business analysts, data-tronics corp.",Business Intelligence Analysts (15-2051.01); Management Analysts (13-1111.00),Business Intelligence Analysts (15-2051.01); Management Analysts (13-1111.00),Management Analysts (13-1111.00),Business Intelligence Analysts (15-2051.01);Management Analysts (13-1111.00)
"business auditor - loss prevention, pepsico - frito lay",Accountants and Auditors (13-2011.00); Loss Prevention Managers (11-9199.08); Retail Loss Prevention Specialists (33-9099.02),Retail Loss Prevention Specialists (33-9099.02); Loss Prevention Managers (11-9199.08); Accountants and Auditors (13-2011.00),Retail Loss Prevention Specialists (33-9099.02); Accountants and Auditors (13-2011.00),Accountants and Auditors (13-2011.00);Loss Prevention Managers (11-9199.08);Retail Loss Prevention Specialists (33-9099.02)
"business banker, first citizens bank",Loan Officers (13-2072.00),Loan Officers (13-2072.00); Financial and Investment Analysts (13-2051.00),Loan Officers (13-2072.00),Loan Officers (13-2072.00)
"business calc tutor, university of south florida - smart lab","Tutors (25-3041.00); Business Teachers, Postsecondary (25-1011.00)","Tutors (25-3041.00); Business Teachers, Postsecondary (25-1011.00)","Tutors (25-3041.00); Teaching Assistants, Postsecondary (25-9044.00)","Tutors (25-3041.00);Business Teachers, Postsecondary (25-1011.00)"
"business consultant sr., anthem",Management Analysts (13-1111.00),Management Analysts (13-1111.00),Management Analysts (13-1111.00),Management Analysts (13-1111.00)
"business counselor, the schumpeter center","Business Operations Specialists, All Other (13-1199.00); Educational, Guidance, and Career Counselors and Advisors (21-1012.00)","Educational, Guidance, and Career Counselors and Advisors (21-1012.00)","Educational, Guidance, and Career Counselors and Advisors (21-1012.00); Business Operations Specialists, All Other (13-1199.00)","Business Operations Specialists, All Other (13-1199.00);Educational, Guidance, and Career Counselors and Advisors (21-1012.00)"
"business department chair, bishop miege high school","Education Administrators, Kindergarten through Secondary (11-9032.00)","Education Administrators, Kindergarten through Secondary (11-9032.00)","Education Administrators, Kindergarten through Secondary (11-9032.00)","Education Administrators, Kindergarten through Secondary (11-9032.00)"
"business development & urban analyst, off the grid services, llc",Urban and Regional Planners (19-3051.00); Business Intelligence Analysts (15-2051.01),Management Analysts (13-1111.00); Urban and Regional Planners (19-3051.00),Urban and Regional Planners (19-3051.00); Management Analysts (13-1111.00),Urban and Regional Planners (19-3051.00);Management Analysts (13-1111.00)
"business development associate, staples business advantage","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products (41-4012.00); Business Operations Specialists, All Other (13-1199.00)","Business Operations Specialists, All Other (13-1199.00)","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00); Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products (41-4012.00)","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products (41-4012.00);Business Operations Specialists, All Other (13-1199.00)"
"business development specialist, southern elevator company inc","Business Operations Specialists, All Other (13-1199.00)","Business Operations Specialists, All Other (13-1199.00)","Business Operations Specialists, All Other (13-1199.00)","Business Operations Specialists, All Other (13-1199.00)"
"business development, industrial sales, forgital italy s.p.a.","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products (41-4012.00); Sales Engineers (41-9031.00)","Sales Engineers (41-9031.00); Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products (41-4011.00)","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products (41-4012.00)","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products (41-4012.00);Sales Engineers (41-9031.00)"
"business education teacher, anne arundel school systems-glen burnie high school","Career/Technical Education Teachers, Secondary School (25-2032.00); Secondary School Teachers, Except Special and Career/Technical Education (25-2031.00)","Career/Technical Education Teachers, Secondary School (25-2032.00)","Career/Technical Education Teachers, Secondary School (25-2032.00)","Career/Technical Education Teachers, Secondary School (25-2032.00)"
"business instructor, siena heights university/michigan bankers association","Business Teachers, Postsecondary (25-1011.00)","Business Teachers, Postsecondary (25-1011.00)","Business Teachers, Postsecondary (25-1011.00)","Business Teachers, Postsecondary (25-1011.00)"
"business intelligence analyst, the trade desk",Business Intelligence Analysts (15-2051.01),Business Intelligence Analysts (15-2051.01),Business Intelligence Analysts (15-2051.01),Business Intelligence Analysts (15-2051.01)
"business librarian, university of the incarnate word®",Librarians and Media Collections Specialists (25-4022.00),Librarians and Media Collections Specialists (25-4022.00),Librarians and Media Collections Specialists (25-4022.00),Librarians and Media Collections Specialists (25-4022.00)
"business operations manager, finca guardia vieja",General and Operations Managers (11-1021.00),General and Operations Managers (11-1021.00),General and Operations Managers (11-1021.00),General and Operations Managers (11-1021.00)
"business performance manager, iberdrola",General and Operations Managers (11-1021.00); Management Analysts (13-1111.00),"Management Analysts (13-1111.00); Business Operations Specialists, All Other (13-1199.00)","Management Analysts (13-1111.00); Business Operations Specialists, All Other (13-1199.00)","Management Analysts (13-1111.00);Business Operations Specialists, All Other (13-1199.00)"
"business reporter, san fernando valley business journal","News Analysts, Reporters and Journalists (27-3023.00); News Analysts, Reporters, and Journalists (27-3023.00)","News Analysts, Reporters and Journalists (27-3023.00)","News Analysts, Reporters, and Journalists (27-3023.00); News Analysts, Reporters and Journalists (27-3023.00)","News Analysts, Reporters and Journalists (27-3023.00);News Analysts, Reporters, and Journalists (27-3023.00)"
"business services, smiley technologies, inc.","Business Operations Specialists, All Other (13-1199.00)","Business Operations Specialists, All Other (13-1199.00)","Business Operations Specialists, All Other (13-1199.00)","Business Operations Specialists, All Other (13-1199.00)"
"business statistics teaching assistant, university of massachusetts dartmouth","Teaching Assistants, Postsecondary (25-9044.00)","Teaching Assistants, Postsecondary (25-9044.00)","Teaching Assistants, Postsecondary (25-9044.00)","Teaching Assistants, Postsecondary (25-9044.00)"
"business teacher, allendale public schools","Secondary School Teachers, Except Special and Career/Technical Education (25-2031.00)","Secondary School Teachers, Except Special and Career/Technical Education (25-2031.00)","Secondary School Teachers, Except Special and Career/Technical Education (25-2031.00)","Secondary School Teachers, Except Special and Career/Technical Education (25-2031.00)"
"busser, backcountry brewery",Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00),Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00),Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00),Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00)
"busser, chubby",Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00),Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00),Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00),Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00)
"busser, el jardin mexican restaurant",Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00),Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00),Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00),Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00)
"busser, paradiso mexican restaurant",Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00),Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00),Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00),Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00)
"busser, pica's italian restaurant",Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00),Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00),Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00),Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00)
"busser, rams horn",Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00),Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00),Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00),Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00)
"busser, rolling road golf club",Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00),Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00),Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00),Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00)
"busser, the cheesecake factory",Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00),Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00),Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00),Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00)
"butcher assistant, save-a-lot","Meat, Poultry, and Fish Cutters and Trimmers (51-3022.00); Butchers and Meat Cutters (51-3021.00)","Butchers and Meat Cutters (51-3021.00); Meat, Poultry, and Fish Cutters and Trimmers (51-3022.00)","Butchers and Meat Cutters (51-3021.00); Meat, Poultry, and Fish Cutters and Trimmers (51-3022.00)","Meat, Poultry, and Fish Cutters and Trimmers (51-3022.00);Butchers and Meat Cutters (51-3021.00)"
"butcher's block assistant, albertsons",Butchers and Meat Cutters (51-3021.00),Butchers and Meat Cutters (51-3021.00),"Butchers and Meat Cutters (51-3021.00); Meat, Poultry, and Fish Cutters and Trimmers (51-3022.00)",Butchers and Meat Cutters (51-3021.00)
"butcher, ingles grocery",Butchers and Meat Cutters (51-3021.00),Butchers and Meat Cutters (51-3021.00),Butchers and Meat Cutters (51-3021.00),Butchers and Meat Cutters (51-3021.00)
"butcher, robinson's grocery",Butchers and Meat Cutters (51-3021.00),Butchers and Meat Cutters (51-3021.00),Butchers and Meat Cutters (51-3021.00),Butchers and Meat Cutters (51-3021.00)
"button-up & packing, ncr corporation","Packers and Packagers, Hand (53-7064.00)","Packers and Packagers, Hand (53-7064.00)","Packers and Packagers, Hand (53-7064.00)","Packers and Packagers, Hand (53-7064.00)"
"buyer - junior collections, dresses & separates, robinsons-may","Wholesale and Retail Buyers, Except Farm Products (13-1022.00)","Wholesale and Retail Buyers, Except Farm Products (13-1022.00)","Wholesale and Retail Buyers, Except Farm Products (13-1022.00)","Wholesale and Retail Buyers, Except Farm Products (13-1022.00)"
"buyer 1, jdsu","Wholesale and Retail Buyers, Except Farm Products (13-1022.00); Purchasing Agents, Except Wholesale, Retail, and Farm Products (13-1023.00)","Wholesale and Retail Buyers, Except Farm Products (13-1022.00)","Wholesale and Retail Buyers, Except Farm Products (13-1022.00)","Wholesale and Retail Buyers, Except Farm Products (13-1022.00)"
"buyer at the parent company, the parent company","Wholesale and Retail Buyers, Except Farm Products (13-1022.00); Purchasing Agents, Except Wholesale, Retail, and Farm Products (13-1023.00)","Purchasing Agents, Except Wholesale, Retail, and Farm Products (13-1023.00); Wholesale and Retail Buyers, Except Farm Products (13-1022.00)","Wholesale and Retail Buyers, Except Farm Products (13-1022.00)","Wholesale and Retail Buyers, Except Farm Products (13-1022.00);Purchasing Agents, Except Wholesale, Retail, and Farm Products (13-1023.00)"
"buyer ii, buyer, guardant health","Purchasing Agents, Except Wholesale, Retail, and Farm Products (13-1023.00)","Wholesale and Retail Buyers, Except Farm Products (13-1022.00); Purchasing Agents, Except Wholesale, Retail, and Farm Products (13-1023.00)","Purchasing Agents, Except Wholesale, Retail, and Farm Products (13-1023.00)","Purchasing Agents, Except Wholesale, Retail, and Farm Products (13-1023.00)"
"buyer, charlotte russe","Wholesale and Retail Buyers, Except Farm Products (13-1022.00)","Wholesale and Retail Buyers, Except Farm Products (13-1022.00)","Wholesale and Retail Buyers, Except Farm Products (13-1022.00)","Wholesale and Retail Buyers, Except Farm Products (13-1022.00)"
"buyer, independent can company","Wholesale and Retail Buyers, Except Farm Products (13-1022.00)","Wholesale and Retail Buyers, Except Farm Products (13-1022.00); Purchasing Agents, Except Wholesale, Retail, and Farm Products (13-1023.00)","Wholesale and Retail Buyers, Except Farm Products (13-1022.00)","Wholesale and Retail Buyers, Except Farm Products (13-1022.00)"
"buying assistant, super autotoyz","Wholesale and Retail Buyers, Except Farm Products (13-1022.00)","Wholesale and Retail Buyers, Except Farm Products (13-1022.00)","Wholesale and Retail Buyers, Except Farm Products (13-1022.00)","Wholesale and Retail Buyers, Except Farm Products (13-1022.00)"
"buying manager, fruition salon",Purchasing Managers (11-3061.00),"Wholesale and Retail Buyers, Except Farm Products (13-1022.00); Purchasing Managers (11-3061.00)","Wholesale and Retail Buyers, Except Farm Products (13-1022.00); Purchasing Managers (11-3061.00)","Purchasing Managers (11-3061.00);Wholesale and Retail Buyers, Except Farm Products (13-1022.00)"
"byu math tutor, brigham young university",Tutors (25-3041.00),Tutors (25-3041.00),Tutors (25-3041.00),Tutors (25-3041.00)
"c-130 aircraft guidance and control technician, united states air force",Avionics Technicians (49-2091.00),Avionics Technicians (49-2091.00),Avionics Technicians (49-2091.00),Avionics Technicians (49-2091.00)
"c-130 airframes mechanic, corporal, u.s. marine corps, usmc",Aircraft Mechanics and Service Technicians (49-3011.00),Aircraft Mechanics and Service Technicians (49-3011.00),Aircraft Mechanics and Service Technicians (49-3011.00),Aircraft Mechanics and Service Technicians (49-3011.00)
"c-130 integrated electronic systems mechanic, maryland air national guard",Aircraft Mechanics and Service Technicians (49-3011.00); Avionics Technicians (49-2091.00),Avionics Technicians (49-2091.00); Aircraft Mechanics and Service Technicians (49-3011.00),Avionics Technicians (49-2091.00); Aircraft Mechanics and Service Technicians (49-3011.00),Aircraft Mechanics and Service Technicians (49-3011.00);Avionics Technicians (49-2091.00)
"cabin air filter aftermarket specialist, freudenberg filtration technologies","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products (41-4011.00)","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products (41-4012.00)","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products (41-4012.00)","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products (41-4012.00)"
"cabin crew member, aer lingus",Flight Attendants (53-2031.00),Flight Attendants (53-2031.00),Flight Attendants (53-2031.00),Flight Attendants (53-2031.00)
"cabinet assembler, rampage yachts",Cabinetmakers and Bench Carpenters (51-7011.00),Cabinetmakers and Bench Carpenters (51-7011.00),Cabinetmakers and Bench Carpenters (51-7011.00),Cabinetmakers and Bench Carpenters (51-7011.00)
"cabinet shop - cabinet maker, lambrecht woodworking",Cabinetmakers and Bench Carpenters (51-7011.00),Cabinetmakers and Bench Carpenters (51-7011.00),Cabinetmakers and Bench Carpenters (51-7011.00),Cabinetmakers and Bench Carpenters (51-7011.00)
"cabinet shop - cabinet maker, wick & rice, llc",Cabinetmakers and Bench Carpenters (51-7011.00),Cabinetmakers and Bench Carpenters (51-7011.00),Cabinetmakers and Bench Carpenters (51-7011.00),Cabinetmakers and Bench Carpenters (51-7011.00)
"cabinetmaker, atelier nord design et construction",Cabinetmakers and Bench Carpenters (51-7011.00),Cabinetmakers and Bench Carpenters (51-7011.00),Cabinetmakers and Bench Carpenters (51-7011.00),Cabinetmakers and Bench Carpenters (51-7011.00)
"cabinetry apprentice, bradley custom cabinets",Helpers--Carpenters (47-3012.00); Cabinetmakers and Bench Carpenters (51-7011.00),Cabinetmakers and Bench Carpenters (51-7011.00); Helpers--Carpenters (47-3012.00),Cabinetmakers and Bench Carpenters (51-7011.00),Helpers--Carpenters (47-3012.00);Cabinetmakers and Bench Carpenters (51-7011.00)
"cable installer, technician, cox communications","Telecommunications Equipment Installers and Repairers, Except Line Installers (49-2022.00)","Telecommunications Equipment Installers and Repairers, Except Line Installers (49-2022.00)","Telecommunications Equipment Installers and Repairers, Except Line Installers (49-2022.00)","Telecommunications Equipment Installers and Repairers, Except Line Installers (49-2022.00)"
"cable technician, ies","Telecommunications Equipment Installers and Repairers, Except Line Installers (49-2022.00)","Telecommunications Equipment Installers and Repairers, Except Line Installers (49-2022.00)","Telecommunications Equipment Installers and Repairers, Except Line Installers (49-2022.00)","Telecommunications Equipment Installers and Repairers, Except Line Installers (49-2022.00)"
"cable technician, outsource telecom / building technology staffing","Telecommunications Line Installers and Repairers (49-9052.00); Telecommunications Equipment Installers and Repairers, Except Line Installers (49-2022.00)","Telecommunications Line Installers and Repairers (49-9052.00); Telecommunications Equipment Installers and Repairers, Except Line Installers (49-2022.00)","Telecommunications Equipment Installers and Repairers, Except Line Installers (49-2022.00)","Telecommunications Line Installers and Repairers (49-9052.00);Telecommunications Equipment Installers and Repairers, Except Line Installers (49-2022.00)"
"cad drafter, architectural cad drafter, urs corporation, an aecom company, urs corporation, sacramento",Architectural and Civil Drafters (17-3011.00),Architectural and Civil Drafters (17-3011.00),Architectural and Civil Drafters (17-3011.00),Architectural and Civil Drafters (17-3011.00)
"cad drafter, kent displays","Drafters, All Other (17-3019.00)","Drafters, All Other (17-3019.00)","Drafters, All Other (17-3019.00)","Drafters, All Other (17-3019.00)"
"cad drafting, switchpoint networks","Drafters, All Other (17-3019.00)","Architectural and Civil Drafters (17-3011.00); Electrical and Electronics Drafters (17-3012.00); Mechanical Drafters (17-3013.00); Drafters, All Other (17-3019.00)",Mechanical Drafters (17-3013.00),"Drafters, All Other (17-3019.00);Mechanical Drafters (17-3013.00)"
"cad draftsman, trifone design associates","Architectural and Civil Drafters (17-3011.00); Mechanical Drafters (17-3013.00); Electrical and Electronics Drafters (17-3012.00); Drafters, All Other (17-3019.00)",Mechanical Drafters (17-3013.00); Architectural and Civil Drafters (17-3011.00),"Electrical and Electronics Drafters (17-3012.00); Mechanical Drafters (17-3013.00); Architectural and Civil Drafters (17-3011.00); Drafters, All Other (17-3019.00)","Architectural and Civil Drafters (17-3011.00);Mechanical Drafters (17-3013.00);Electrical and Electronics Drafters (17-3012.00);Drafters, All Other (17-3019.00)"
"cad electrical drafter, cummins inc.",Electrical and Electronics Drafters (17-3012.00),Electrical and Electronics Drafters (17-3012.00),Electrical and Electronics Drafters (17-3012.00),Electrical and Electronics Drafters (17-3012.00)
"cad engineer, cirrus logic",Electrical and Electronics Drafters (17-3012.00),"Computer Hardware Engineers (17-2061.00); Electronics Engineers, Except Computer (17-2072.00)","Electrical Engineers (17-2071.00); Electronics Engineers, Except Computer (17-2072.00)","Electronics Engineers, Except Computer (17-2072.00)"
"cad instructor, west georgia technical college","Career/Technical Education Teachers, Postsecondary (25-1194.00)","Career/Technical Education Teachers, Postsecondary (25-1194.00)","Career/Technical Education Teachers, Postsecondary (25-1194.00)","Career/Technical Education Teachers, Postsecondary (25-1194.00)"
"cad operator, classic homes",Architectural and Civil Drafters (17-3011.00),Architectural and Civil Drafters (17-3011.00),Architectural and Civil Drafters (17-3011.00),Architectural and Civil Drafters (17-3011.00)
"cad operator, mercedes homes",Mechanical Drafters (17-3013.00); Architectural and Civil Drafters (17-3011.00),Architectural and Civil Drafters (17-3011.00),Mechanical Drafters (17-3013.00); Architectural and Civil Drafters (17-3011.00),Mechanical Drafters (17-3013.00);Architectural and Civil Drafters (17-3011.00)
"cad technician, fieldstone land consultants, pllc",Architectural and Civil Drafters (17-3011.00),Architectural and Civil Drafters (17-3011.00),Architectural and Civil Drafters (17-3011.00),Architectural and Civil Drafters (17-3011.00)
